hotel_id,hotel_name,total_rooms,company_name,hotel_price,city,address,map_link,company_id
80,Sunflower Hotel Tuy Hòa,60,Sunflower Hotel Tuy Hòa ,800000,Phú Yên,"341 Lê Duẩn, Phường 7, Thành phố Tuy Hoà, Phú Yên",https://maps.app.goo.gl/rBBMgYrZPCefug5J8,77
81,Salmalia Boutique Hotel & Spa,44,CÔNG TY CỔ PHẦN XÂY DỰNG DỊCH VỤ VÀ THƯƠNG MẠI MỘC MIÊN,1500000,Đà Nẵng,"52 Lâm Hoành, Đà Nẵng, Việt Nam",https://maps.app.goo.gl/2k5CiPLdMcmiMQ138,78
82,M Hotel Phú Quốc,160,M Group,1500000,Phú Quốc,"46 Trần Hưng Đạo, Thị trấn Dương Đông, Thành phố Phú Quốc, Kiên Giang ",https://maps.app.goo.gl/y8iMoZtqY8CWg6XJ7,79
83,Eli Rina Hotel Hà Nội,29,ELI RINA HOTEL,1450000,Hà Nội,"Số 115 Nguyễn Khuyến, Phường Văn Miếu, Quận Đống Đa, Thành phố Hà Nội, Việt Nam",https://maps.app.goo.gl/4X9oFfruAm2Lbk7z8,80
84,Vanda Hotel Đà Nẵng,114,CÔNG TY TNHH BINITIS,1400000,Đà Nẵng,"03 Nguyễn Văn Linh, Đà Nẵng, Việt Nam",https://maps.app.goo.gl/HXmZnkWJz6ZXafNA6,81
85,Angel Hotels Beach Đà Nẵng,1,Angel Hotels Beach Đà Nẵng,1000000,Đà Nẵng,"31 - 32 Đ. Ng. Thì Sĩ, Bắc Mỹ An, Ngũ Hành Sơn, Đà Nẵng, Việt Nam",https://maps.app.goo.gl/4QSt6HeAriramhJV6,82
86,Scenic Mountain Ecolodge Ninh Bình,40,Scenic Mountain Ecolodge Ninh Binh,1400000,Ninh Bình,"Khê Hạ, Hoa Lư, Ninh Bình",https://maps.app.goo.gl/pJsk6Ga5nPucAC7c8,83
87,Leaf Hotel Phú Quốc,29,Leaf Hotel Phú Quốc,700000,,"Suối Mây Cửa Lấp, Xã Dương Tơ, Thành phố Phú Quốc, Kiên Giang ",https://maps.app.goo.gl/j9yggJjUW8bm4iat7,84
88,Sol by Meliá Phú Quốc,284,Melia Hotels Internationl,2500000,Phú Quốc," Khu 1, Khu Du Lịch Đức Việt Khu phức hợp Bãi Trường, Xã Dương Tơ, Thành phố Phú Quốc, Kiên Giang",https://maps.app.goo.gl/5SRGm3veKxNAQiLf8,85
89,VinHolidays Fiesta Phú Quốc,687,Vinpearl Join Stock Company - Vingroup JSC,2000000,Phú Quốc," Khu Bãi Dài, Xã Gành Dầu, Thành phố Phú Quốc, Kiên Giang",https://maps.app.goo.gl/JyvjNPpwzPy8GSTQA,86
