ship_id,ship_name,launch,cabin,shell,trip,company_name,ship_price,address,map_link,company_id
21,Du thuyền Nostalgia,2023,10,Gỗ,Vịnh Lan Hạ- động Trung Trang- Ao Ếch,Pelican Group,3100000,"Cảng tàu khách quốc tế Tuần Châu,Hạ Long,QN",https://maps.app.goo.gl/XXhvTM6Dc4FXSHV46,232
22,Du thuyền Peony,2018,20,Sắt,Vịnh Lan Hạ - Khu vực Ao Ếch – Khu vực Trà Báu – Hang Trung Trang,Tập đoàn Pelican,3050000,"Cảng tàu khách quốc tế Tuần Châu,Hạ Long,Quảng Ninh",https://maps.app.goo.gl/t8Bp5VXXRcUwZ4cMA,230
23,Du thuyền Sena,2019,16,Kim loại,Vịnh Lan Hạ - Hang Sáng Tối – Hang Trung Trang hoặc làng chài Việt Hải,Công ty cổ phần đầu tư du lịch Thiên Nga,3150000,"Cảng tàu khách quốc tế Tuần Châu,Hạ Long,Quảng Ninh",https://maps.app.goo.gl/t8Bp5VXXRcUwZ4cMA,233
24,Du thuyền Mon Chéri,2018,18,Kim loại,Vịnh Lan Hạ - Khu vực Ao Ếch - Hang Sáng Tối - Làng chài Việt Hải,Big Bay Group,3300000,"Cảng tàu khách quốc tế Tuần Châu,Hạ Long,QN",https://maps.app.goo.gl/j2TLu1vXiy3PsA2GA,234
25,Du thuyền Swan,2015,18,Gỗ,Vịnh Bái Tử Long – Đảo Cặp La - Hang Thiên Cảnh Sơn,Công ty cổ phần đầu tư du lịch Thiên Nga,3000000,"Cảng tàu khách quốc tế Hạ Long,Hạ Long,Quảng Ninh",https://maps.app.goo.gl/zHQnpFCrU5juoVcH8,233
26,Du thuyền Erina,2018,27,Kim loại,Vịnh Lan Hạ - Hang Sáng Tối,Erina Group,3300000,"Cảng tàu khách quốc tế Tuần Châu, Hạ Long, Quảng Ninh, Việt Nam",https://maps.app.goo.gl/t8Bp5VXXRcUwZ4cMA,235
27,Du thuyền Indochine Premium,2023,37,Kim loại,Vịnh Hạ Long - Hang Sửng Sốt- Đảo Titop,Tập đoàn du lịch Hương Hải,4600000,"Cảng tàu khách quốc tế Tuần Châu, Hạ Long, Quảng Ninh, Việt Nam",https://maps.app.goo.gl/kszKdp39x2mjDe4M9,216
28,Du thuyền Athena Luxury,2017,21,Kim loại,Vịnh Hạ Long - Hang Luồn - Đảo Titop- Hang Sửng Sốt,Công ty cổ phần du lịch Quốc Tế Athena Cruise,3000000,"Cảng tàu khách quốc tế Hạ Long,Hạ Long,Quảng Ninh",https://maps.app.goo.gl/Pr7Hj9xp5kevJk2T9,236
29,Du thuyền Indochine Sails,2010,23,Gỗ,Vịnh Hạ Long - Hang Sửng Sốt- Đảo Titop,Tập đoàn du lịch Hương Hải,3200000,"Cảng tàu khách quốc tế Tuần Châu, Hạ Long, Quảng Ninh, Việt Nam",https://maps.app.goo.gl/JkXvqRVz1gunpkzn7,216
30,Du thuyền Athena Royal,2019,22,Kim loại,Vịnh Hạ Long – Vịnh Bái Tử Long,Công ty cổ phần du lịch Quốc Tế Athena Cruise,3000000,"Cảng tàu khách quốc tế Hạ Long,Hạ Long,Quảng Ninh",https://maps.app.goo.gl/Pr7Hj9xp5kevJk2T9,236
31,Du thuyền Signature Hạ Long,2012,12,Gỗ,Vịnh Bái Tử Long – Làng chài Vung Viêng - Hang Thiên Cảnh Sơn,Công ty cổ phần du lịch Quốc Tế Athena Cruise,2600000,"Cảng tàu khách quốc tế Hạ Long,Hạ Long,Quảng Ninh",https://maps.app.goo.gl/Pr7Hj9xp5kevJk2T9,236
32,Du thuyền Signature Royal,2014,16,Gỗ,Vịnh Hạ Long - Vịnh Bái Tử Long - Làng chài Vung Viêng - Hang Thiên Cảnh Sơn ,Công ty cổ phần du lịch Quốc Tế Athena Cruise,2600000,"Cảng tàu khách quốc tế Hạ Long,Hạ Long,QN",https://maps.app.goo.gl/Pr7Hj9xp5kevJk2T9,236
33,Du thuyền Doris,2022,24,Kim loại,Vịnh Lan Hạ - Khu vực Ao Ếch – Khu vực Trà Báu – Hang Trung Trang,Công ty du thuyền Doris,3450000,"Cảng tàu khách quốc tế Tuần Châu,Hạ Long,QN",https://maps.app.goo.gl/UjGgZQ7Pg6StgEL5A,237
