room_id,ship_id,room_name,size,max_persons,room_price,room_features
1,25,Phòng Deluxe,18,2,3000000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
2,25,Phòng Deluxe Gia đình   ,36,4,3000000,"Wi-Fi, Nhìn ra biển, Điều hòa, Ban công riêng"
3,25,Phòng Suite có ban công ,22,2,3250000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
4,25,Phòng Suite Gia đình có ban công  ,28,2,3250000,"Wi-Fi, Nhìn ra biển, Điều hòa, Ban công riêng"
1,26,Phòng Junior Suite có ban công riêng,36,2,3300000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
2,26,Phòng Senior Suite có ban công riêng,36,2,3500000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
3,26,Phòng Triple Suite có ban công riêng,60,3,3500000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
4,26,Phòng Suite Gia đình có ban công riêng,70,4,3500000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
5,26,Phòng President Suite giường tròn,155,2,10500000,"Nhìn ra biển, Wi-Fi, Điều hòa, Két an toàn, Ban công riêng"
1,27,Phòng Junior có ban công riêng,34,2,4600000,"Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
2,27,Phòng Suite,46,2,5350000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
3,27,Phòng Executive Suite có ban công riêng,54,2,6600000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
4,27,Phòng President Suite có ban công riêng,80,2,10850000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
1,28,Phòng Executive Suite có ban công riêng,25,2,3000000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
2,28,Phòng Elegant Suite có ban công riêng,28,2,3250000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
3,28,Phòng Terrace Suite có sân hiên,30,2,3850000,"Nhìn ra biển, Cửa sổ từ sàn đến trần, Wi-Fi, Điều hòa, Ban công riêng, Két an toàn"
4,28,Phòng Triple Suite (ba người),30,3,3100000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
1,29,Phòng Superior,14,2,2850000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
2,29,Phòng Deluxe,16,2,3150000,"Nhìn ra biển, Wi-Fi, Điều hòa, Két an toàn, Ban công riêng"
3,29,Phòng Suite,20,2,3350000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng, Sạc điện thoại, Két an toàn"
4,29,Phòng President,24,2,3850000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
1,30,Phòng Executive Suite,25,2,3000000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
2,30,Phòng Elegance Suite,28,2,3250000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
3,30,Phòng Premium Terrace Suite,30,2,3850000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng, Két an toàn"
4,30,Phòng Royal Suite,45,2,6500000,"Nhìn ra biển, Wi-Fi, Điều hòa, Két an toàn, Ban công riêng"
1,31,Phòng Junior Suite,26,2,2600000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
2,31,Phòng Senior Suite,28,2,2900000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
3,31,Phòng Elite Suite,45,3,3000000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
4,31,Phòng Exculusive Suite,36,3,3000000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
1,32,Phòng Junior Suite,28,2,2600000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
2,32,Phòng Senior Suite,30,2,2900000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
3,32,Phòng Royal Family ,55,4,3000000,"Wi-Fi, Nhìn ra biển, Điều hòa, Ban công riêng"
4,32,Phòng Elite Suite ,82,5,3000000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
5,32,Phòng Exclusive Family,55,3,3000000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
1,33,Phòng Junior Suite,25,2,3450000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
2,33,Phòng Junior Suite Gia đình,50,4,3450000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
